svf_id	svf	konur	karlar	konurkjorskra	karlarkjorskra	thatttaka
8610	Ásahreppur	2	3	70	64	105
8721	Bláskógabyggð	2	4	313	326	524
8722	Flóahreppur	3	2	202	226	366
8719	Grímsnes- og Grafningshreppur	1	4	136	165	272
8710	Hrunamannahreppur	2	3	245	265	422
8716	Hveragerðisbær	4	3	812	860	1336
8508	Mýrdalshreppur	2	3	173	196	344
8613	Rangárþing eystra	3	4	580	639	978
8614	Rangárþing ytra	3	4	531	555	915
8509	Skaftárhreppur	2	3	159	205	304
8720	Skeiða- og Gnúpverjahreppur	1	4	178	193	323
8200	Sveitarfélagið Árborg	4	5	2676	2777	4164
7708	Sveitarfélagið Hornafjörður	2	5	724	809	1260
8717	Sveitarfélagið Ölfus	3	4	618	689	1032
8000	Vestmannaeyjabær	2	5	1463	1564	2465
7509	Borgarfjarðarhreppur	1	4	45	61	71
7613	Breiðdalshreppur	2	3	102	73	
7617	Djúpavogshreppur	2	3	146	173	
7300	Fjarðabyggð	3	6	1488	1717	2349
7620	Fljótsdalshérað	3	6	1190	1244	1766
7505	Fljótsdalshreppur	2	3	29	44	62
7000	Seyðisfjarðarkaupstaður	4	3	260	278	488
7502	Vopnafjarðarhreppur	4	3	245	280	462
6000	Akureyrarkaupstaður	5	6	6562	6215	9537
6400	Dalvíkurbyggð	2	5	649	697	1060
6513	Eyjafjarðarsveit	3	4	347	366	541
6250	Fjallabyggð	4	5	767	812	1297
6602	Grýtubakkahreppur	2	3	113	122	182
6709	Langanesbyggð	1	6	153	179	198
6100	Norðurþing	2	7	1069	1093	1645
6515	Sameinað sveitarfélag Arnarneshrepps og Hörgárbyggðar	2	3	199	241	352
6607	Skútustaðahreppur	2	3	141	151	248
6706	Svalbarðshreppur	2	3	35	44	62
6601	Svalbarðsstrandarhreppur	3	2	132	144	196
6611	Tjörneshreppur	1	4	21	30	39
6612	Þingeyjarsveit	4	3	326	388	549
5706	Akrahreppur	0	5	71	87	108
5604	Blönduósbær	4	3	308	321	523
5612	Húnavatnshreppur	3	4	141	176	275
5508	Húnaþing vestra	4	3	413	416	662
5611	Skagabyggð	2	3	29	40	49
5200	Sveitarfélagið Skagafjörður	3	6	1466	1558	2330
5609	Sveitarfélagið Skagaströnd	2	3	172	188	
4901	Árneshreppur	3	2	19	24	38
4100	Bolungarvíkurkaupstaður	3	4	309	316	515
100000001	Bæjarhreppur	1	4	27	37	55
4200	Ísafjarðarbær	5	4	1355	1383	2209
4902	Kaldrananeshreppur	2	3	42	41	60
4502	Reykhólahreppur	2	3	103	105	134
4911	Strandabyggð	3	2	173	204	273
4803	Súðavíkurhreppur	1	4	71	71	111
4604	Tálknafjarðarhreppur	3	2	80	98	
4607	Vesturbyggð	3	4	330	332	547
3000	Akraneskaupstaður	2	7	2237	2313	3149
3609	Borgarbyggð	4	5	1237	1254	1892
3811	Dalabyggð	4	3	253	258	336
3713	Eyja- og Miklaholtshreppur	1	4	46	51	90
3709	Grundarfjarðarbær	4	3	294	321	554
3710	Helgafellssveit	1	4	22	27	44
3511	Hvalfjarðarsveit	2	5	210	226	384
3506	Skorradalshreppur	3	2	20	22	22
3714	Snæfellsbær	4	3	547	596	1017
3711	Stykkishólmsbær	3	4	404	425	729
2300	Grindavíkurbær	3	4	920	947	1507
2000	Reykjanesbær	3	8	4662	4693	6647
2503	Sandgerðisbær	2	5	518	568	911
2504	Sveitarfélagið Garður	3	4	482	502	812
2506	Sveitarfélagið Vogar	3	4	367	424	623
1300	Garðabær	2	5	4023	3833	5567
1400	Hafnarfjarðarkaupstaður	5	6	9001	8831	11589
1606	Kjósarhreppur	2	3	71	88	149
1000	Kópavogsbær	4	7	11018	10378	14704
1604	Mosfellsbær	2	5	2904	2890	3939
0	Reykjavíkurborg	7	8	43929	41879	63019
1100	Seltjarnarneskaupstaður	3	4	1678	1594	2432
100000002	Sveitarfélagið Álftanes	1	6	842	837	1249
